Start time = 1674615698931;
Timestamp;PPI
1674616361550;751
1674616362345;795
1674616363158;813
1674616363978;820
1674616364791;813
1674616365623;832
1674616366446;823
1674616367233;787
1674616368034;801
1674616368843;809
1674616369602;759
1674616370380;778
1674616371178;798
1674616371977;799
1674616372763;786
1674616373581;818
1674616374440;859
1674616375249;809
1674616376084;835
1674616376910;826
1674616377739;829
1674616378530;791
1674616379338;808
1674616380157;819
1674616380940;783
1674616381743;803
1674616382560;817
1674616383380;820
1674616384159;779
1674616384954;795
1674616385758;804
1674616386555;797
1674616387332;777
1674616388120;788
1674616388915;795
1674616389690;775
1674616390474;784
1674616391280;806
1674616392075;795
1674616392873;798
1674616393690;817
1674616394522;832
1674616395311;789
1674616396117;806
1674616396934;817
1674616397762;828
1674616398554;792
1674616399360;806
1674616400172;812
1674616400954;782
1674616401741;787
1674616402545;804
1674616403355;810
1674616404137;782
1674616404933;796
1674616405734;801
1674616406504;770
1674616407290;786
1674616408090;800
1674616408888;798
1674616409662;774
1674616410450;788
1674616411238;788
1674616411985;747
1674616412761;776
1674616413552;791
1674616414333;781
1674616415106;773
1674616415896;790
1674616416709;813
1674616417465;756
1674616418240;775
1674616419008;768
1674616419755;747
1674616420494;739
1674616421237;743
1674616421989;752
1674616422716;727
1674616423488;772
1674616424262;774
1674616425023;761
1674616425770;747
1674616426531;761
1674616427309;778
1674616428076;767
1674616428827;751
1674616429582;755
1674616430353;771
1674616431078;725
1674616431806;728
1674616432541;735
1674616433297;756
1674616434036;739
1674616434803;767
1674616435574;771
1674616436357;783
1674616437098;741
1674616437853;755
1674616438623;770
1674616439395;772
1674616440164;769
1674616440947;783
1674616441737;790
1674616442511;774
1674616443282;771
1674616444055;773
1674616444834;779
1674616445573;739
1674616446352;779
1674616447145;793
1674616447911;766
1674616448671;760
1674616449444;773
1674616450226;782
1674616450980;754
1674616451744;764
1674616452514;770
1674616453267;753
1674616453979;712
1674616454703;724
1674616455437;734
1674616456188;751
1674616456899;711
1674616457649;750
1674616458393;744
1674616459119;726
1674616459818;699
1674616460561;743
1674616461291;730
1674616461997;706
1674616462712;715
1674616463455;743
1674616464209;754
1674616465003;794
1674616465761;758
1674616466543;782
1674616467327;784
1674616468118;791
1674616468884;766
1674616469654;770
1674616470427;773
1674616471167;740
1674616471914;747
1674616472665;751
1674616473419;754
1674616474160;741
1674616474929;769
1674616475712;783
1674616476488;776
1674616477232;744
1674616477987;755
1674616478748;761
1674616479481;733
1674616480237;756
1674616480996;759
1674616481761;765
1674616482495;734
1674616483241;746
1674616484004;763
1674616484771;767
1674616485527;756
1674616486295;768
1674616487078;783
1674616487839;761
1674616488628;789
1674616489417;789
1674616490172;755
1674616490900;728
1674616491630;730
1674616492369;739
1674616493113;744
1674616493844;731
1674616494542;698
1674616495198;656
1674616495941;743
1674616496712;771
1674616497509;797
1674616498337;828
1674616499161;824
1674616499985;824
1674616500782;797
1674616501562;780
1674616502320;758
1674616503057;737
1674616503783;726
1674616504509;726
1674616505239;730
1674616505998;759
1674616506737;739
1674616507498;761
1674616508267;769
1674616509038;771
1674616509782;744
1674616510550;768
1674616511349;799
1674616512134;785
1674616512967;833
1674616513801;834
1674616514624;823
1674616515463;839
1674616516248;785
1674616517019;771
1674616517781;762
1674616518528;747
1674616519272;744
1674616519978;706
1674616520715;737
1674616521450;735
1674616522186;736
1674616522895;709
1674616523639;744
1674616524373;734
1674616525105;732
1674616525832;727
1674616526572;740
1674616527325;753
1674616528060;735
1674616528790;730
1674616529531;741
1674616530269;738
1674616530978;709
1674616531704;726
1674616532433;729
1674616533168;735
1674616533889;721
1674616534631;742
1674616535375;744
1674616536125;750
1674616536863;738
1674616537642;779
1674616538428;786
1674616539192;764
1674616539955;763
1674616540711;756
1674616541445;734
1674616542162;717
1674616542893;731
1674616543625;732
1674616544336;711
1674616545086;750
1674616545841;755
1674616546596;755
1674616547311;715
1674616548054;743
1674616548802;748
1674616549503;701
1674616550206;703
1674616550927;721
1674616551666;739
1674616552384;718
1674616553128;744
1674616553858;730
1674616554592;734
1674616555304;712
1674616556054;750
1674616556813;759
1674616557571;758
1674616558311;740
1674616559080;769
1674616559870;790
1674616560640;770
1674616561423;783
1674616562203;780
1674616562957;754
1674616563700;743
1674616564447;747
1674616565197;750
1674616565915;718
1674616566658;743
1674616567417;759
1674616568138;721
1674616568885;747
1674616569644;759
1674616570399;755
1674616571123;724
1674616571867;744
1674616572610;743
1674616573322;712
1674616574018;696
1674616574740;722
1674616575447;707
1674616576127;680
1674616576831;704
1674616577550;719
1674616578279;729
1674616578991;712
1674616579733;742
1674616580499;766
1674616581258;759
1674616582009;751
1674616582768;759
1674616583517;749
1674616584238;721
1674616584995;757
1674616585744;749
1674616586496;752
1674616587251;755
1674616588008;757
1674616588763;755
1674616589492;729
1674616590259;767
1674616591039;780
1674616591827;788
1674616592602;775
1674616593398;796
1674616594191;793
1674616594952;761
1674616595750;798
1674616596552;802
1674616597330;778
1674616598084;754
1674616598829;745
1674616599577;748
1674616600307;730
1674616601062;755
1674616601829;767
1674616602587;758
1674616603304;717
1674616604010;706
1674616604700;690
1674616605413;713
1674616606096;683
1674616606755;659
1674616607394;639
1674616608044;650
1674616608737;693
1674616609424;687
1674616610127;703
1674616610866;739
1674616611636;770
1674616612383;747
1674616613152;769
1674616613935;783
1674616614728;793
1674616615469;741
1674616616205;736
1674616616921;716
1674616617635;714
1674616618312;677
1674616619011;699
1674616619743;732
1674616620514;771
1674616621285;771
1674616622083;798
1674616622877;794
1674616623656;779
1674616624383;727
1674616625099;716
1674616625816;717
1674616626530;714
1674616627290;760
1674616627957;667
1674616628641;684
1674616629433;792
1674616630209;776
1674616630949;740
1674616631567;618
1674616632405;838
1674616633171;766
1674616633931;760
1674616634702;771
1674616635573;871
1674616637096;1523
1674616637968;872
1674616639422;1454
1674616641662;2240
1674616642591;929
1674616643915;1324
1674616645375;1460
1674616647658;2283
1674616649645;1987
1674616651867;2222
