Start time = 1674614052227;
Timestamp;PPI
1674614508038;748
1674614508796;758
1674614509559;763
1674614510338;779
1674614511098;760
1674614511879;781
1674614512685;806
1674614513488;803
1674614514258;770
1674614515050;792
1674614515833;783
1674614516612;779
1674614517363;751
1674614518120;757
1674614518879;759
1674614519626;747
1674614520360;734
1674614521099;739
1674614521843;744
1674614522578;735
1674614523329;751
1674614524083;754
1674614524838;755
1674614525564;726
1674614526301;737
1674614527047;746
1674614527800;753
1674614528535;735
1674614529266;731
1674614530023;757
1674614530798;775
1674614531563;765
1674614532311;748
1674614533078;767
1674614533871;793
1674614534663;792
1674614535427;764
1674614536216;789
1674614536999;783
1674614537744;745
1674614538456;712
1674614539156;700
1674614539848;692
1674614540521;673
1674614541188;667
1674614541858;670
1674614542566;708
1674614543286;720
1674614544037;751
1674614544783;746
1674614545554;771
1674614546324;770
1674614547085;761
1674614547818;733
1674614548551;733
1674614549291;740
1674614550057;766
1674614550810;753
1674614551560;750
1674614552342;782
1674614553130;788
1674614553891;761
1674614554687;796
1674614555509;822
1674614556325;816
1674614557099;774
1674614557876;777
1674614558633;757
1674614559381;748
1674614560116;735
1674614560858;742
1674614561598;740
1674614562332;734
1674614563067;735
1674614563812;745
1674614564563;751
1674614565295;732
1674614566032;737
1674614566793;761
1674614567569;776
1674614568348;779
1674614569108;760
1674614569879;771
1674614570661;782
1674614571441;780
1674614572193;752
1674614572951;758
1674614573706;755
1674614574455;749
1674614575190;735
1674614575934;744
1674614576687;753
1674614577454;767
1674614578220;766
1674614578986;766
1674614579766;780
1674614580566;800
1674614581345;779
1674614582119;774
1674614582905;786
1674614583701;796
1674614584461;760
1674614585227;766
1674614585993;766
1674614586766;773
1674614587523;757
1674614588299;776
1674614589082;783
1674614589867;785
1674614590624;757
1674614591384;760
1674614592148;764
1674614592897;749
1674614593635;738
1674614594379;744
1674614595141;762
1674614595890;749
1674614596645;755
1674614597414;769
1674614598210;796
1674614598976;766
1674614599740;764
1674614600509;769
1674614601292;783
1674614602060;768
1674614602848;788
1674614603643;795
1674614604425;782
1674614605203;778
1674614606005;802
1674614606813;808
1674614607598;785
1674614608389;791
1674614609192;803
1674614609991;799
1674614610772;781
1674614611571;799
1674614612411;840
1674614613206;795
1674614614020;814
1674614614843;823
1674614615659;816
1674614616432;773
1674614617232;800
1674614618020;788
1674614618787;767
1674614619567;780
1674614620348;781
1674614621107;759
1674614621847;740
1674614622598;751
1674614623366;768
1674614624136;770
1674614624952;816
1674614625821;869
1674614626716;895
1674614627592;876
1674614628491;899
1674614629391;900
1674614630252;861
1674614631111;859
1674614631951;840
1674614632781;830
1674614633611;830
1674614634433;822
1674614635255;822
1674614636054;799
1674614636853;799
1674614637671;818
1674614638493;822
1674614639283;790
1674614640084;801
1674614640880;796
1674614641684;804
1674614642455;771
1674614643248;793
1674614644045;797
1674614644827;782
1674614645585;758
1674614646306;721
1674614647077;771
1674614647885;808
1674614648734;849
1674614649553;819
1674614650334;781
1674614651119;785
1674614651902;783
1674614652653;751
1674614653389;736
1674614654145;756
1674614654913;768
1674614655685;772
1674614656474;789
1674614657292;818
1674614658133;841
1674614658970;837
1674614659807;837
1674614660655;848
1674614661516;861
1674614662328;812
1674614663159;831
1674614663989;830
1674614664756;767
1674614665592;836
1674614666343;751
1674614667892;1549
1674614668951;1059
1674614669485;534
1674614670364;879
1674614670982;618
1674614671594;612
1674614672200;606
1674614672818;618
1674614673431;613
1674614674069;638
1674614674677;608
1674614675289;612
1674614675906;617
1674614676522;616
1674614677126;604
1674614677727;601
1674614678324;597
1674614678920;596
1674614679513;593
1674614680106;593
1674614680700;594
1674614681309;609
1674614681922;613
1674614682550;628
1674614683179;629
1674614683820;641
1674614684522;702
1674614685252;730
1674614686036;784
1674614686836;800
1674614687648;812
1674614688453;805
1674614689212;759
1674614689930;718
1674614690650;720
1674614691360;710
1674614692067;707
1674614692790;723
1674614693482;692
1674614694163;681
1674614694838;675
1674614695546;708
1674614696290;744
1674614697058;768
1674614697825;767
1674614698577;752
1674614699340;763
1674614700097;757
1674614700845;748
1674614701563;718
1674614702255;692
1674614702948;693
1674614703627;679
1674614704311;684
1674614704986;675
1674614705703;717
1674614706433;730
1674614707198;765
1674614707950;752
1674614708701;751
1674614709433;732
1674614710158;725
1674614710864;706
1674614711559;695
1674614712244;685
1674614712934;690
1674614713625;691
1674614714309;684
1674614715015;706
1674614715762;747
1674614716504;742
1674614717233;729
1674614717981;748
1674614718749;768
1674614719496;747
1674614720240;744
1674614720966;726
1674614721712;746
1674614722460;748
1674614723196;736
1674614723950;754
1674614724711;761
1674614725461;750
1674614726203;742
1674614726952;749
1674614727699;747
1674614728424;725
1674614729131;707
1674614729845;714
1674614730556;711
1674614731276;720
1674614731981;705
1674614732703;722
1674614733441;738
1674614734184;743
1674614734907;723
1674614735647;740
1674614736416;769
1674614737167;751
1674614737887;720
1674614738640;753
1674614739396;756
1674614740155;759
1674614740902;747
1674614741679;777
1674614742461;782
1674614743209;748
1674614743928;719
1674614744689;761
1674614745437;748
1674614746191;754
1674614746912;721
1674614747591;679
1674614748256;665
1674614748929;673
1674614749583;654
1674614750249;666
1674614750893;644
1674614751538;645
1674614752212;674
1674614752890;678
1674614753570;680
1674614754259;689
1674614754965;706
1674614755671;706
1674614756385;714
1674614757082;697
1674614757798;716
1674614758506;708
1674614759200;694
1674614759894;694
1674614760572;678
1674614761256;684
1674614761932;676
1674614762560;628
1674614763203;643
1674614763864;661
1674614764511;647
1674614765226;715
1674614765940;714
1674614766677;737
1674614767450;773
1674614768170;720
1674614768877;707
1674614769580;703
1674614770267;687
1674614770947;680
1674614771614;667
1674614772289;675
1674614772935;646
1674614773579;644
1674614774231;652
1674614774881;650
1674614775542;661
1674614776232;690
1674614776954;722
1674614777728;774
1674614778481;753
1674614779248;767
1674614780017;769
1674614780779;762
